Title,Framework/library,Language,Last Modified,Last Modified text,Notes,Related Categories,Source
PowerShell Hash Entire Folder,,PowerShell,"October 2, 2024 7:38 PM",Modified 2 days ago,,,
Promise 2,,JavaScript,"October 2, 2024 2:04 AM",Modified 3 days ago,,,
Promise,,JavaScript,"October 2, 2024 2:00 AM",Modified 3 days ago,,,
"Check if # is prime ",,JavaScript,"October 2, 2024 1:56 AM",Modified 3 days ago,,,
Convert value to array,,JavaScript,"October 2, 2024 1:32 AM",Modified 3 days ago,,,
Convert Array to CSV,,JavaScript,"October 2, 2024 1:31 AM",Modified 3 days ago,,,
Convert Object to CSV,,JavaScript,"October 2, 2024 1:30 AM",Modified 3 days ago,,,
Convert JSON to CSV,,JavaScript,"October 2, 2024 1:29 AM",Modified 3 days ago,,,
Convert CSV to Array,,JavaScript,"October 2, 2024 1:25 AM",Modified 3 days ago,,,
Convert CSV to Object,,JavaScript,"October 2, 2024 1:24 AM",Modified 3 days ago,,,
Convert CSV to JSON,,JavaScript,"October 2, 2024 1:23 AM",Modified 3 days ago,,,
Hash all files,,PowerShell,"October 2, 2024 12:52 AM",Modified 3 days ago,,,
async() example,,JavaScript,"October 1, 2024 10:20 PM",Modified 3 days ago,,,
Sync test,,,"October 1, 2024 10:17 PM",Modified 3 days ago,,,
Validate/Fix PDF (Linux),,,"September 30, 2024 9:57 PM",Modified 4 days ago,,,
Recursive unzip (Win),,,"September 30, 2024 8:25 PM",Modified 4 days ago,,Other category (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Other%20category%201121011fa486805a8380ce66f19ef953.html),
"Shell script, validate pdfs",,"BASH, Linux","September 30, 2024 8:25 PM",Modified 4 days ago,,Other category (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Other%20category%201121011fa486805a8380ce66f19ef953.html),
How to detect userscripts,Vanilla JS,,"September 30, 2024 7:40 PM",Modified 4 days ago,,Other category (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Other%20category%201121011fa486805a8380ce66f19ef953.html),
Basic SQL SELECT Query,None,SQL,"September 30, 2024 7:32 PM",Modified 4 days ago,This snippet showcases how to fetch all columns from a table using SQL.,Database Operations (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Database%20Operations%201121011fa486810ea596d98937f90eec.html),
Python Fibonacci Sequence,None,Python,"September 30, 2024 7:32 PM",Modified 4 days ago,Recursive function to compute Fibonacci sequence in Python,Utility Functions (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Utility%20Functions%201121011fa48681b49ca8cb74466f1a8b.html),
React useEffect Hook with Data Fetching,React,JavaScript,"September 30, 2024 7:32 PM",Modified 4 days ago,This snippet showcases how to use the useEffect hook to fetch data from an API when a component mounts. It uses the native fetch function and the useState hook for state management.,Framework-specific (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Framework-specific%201121011fa48681eb8b78ec94c1e07de3.html),https://react.dev/reference/react/useEffect
React useState Hook,React,JavaScript,"September 30, 2024 7:32 PM",Modified 4 days ago,This snippet demonstrates how to use React's useState hook for state management in functional components.,Framework-specific (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Framework-specific%201121011fa48681eb8b78ec94c1e07de3.html),https://react.dev/reference/react/useState
Basic Fetch in JavaScript,Vanilla JS,JavaScript,"September 30, 2024 7:32 PM",Modified 4 days ago,This is a basic implementation of the fetch API in JavaScript to get data from an API.,Web Components (Code%20Snippets%200ca01552b076472daac8032f2b173200/categories%201121011fa48681b58c36dadc4e6e3d64/Web%20Components%201121011fa48681048adbcdb0e9302cf6.html),
